CustomId,Part Number,Colors,filename
60,2412,"['Black', 'Blue', 'Brown', 'Dark Azure', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Dark Turquoise', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Medium Blue', 'Olive Green', 'Orange', 'Purple', 'Red', 'Reddish Brown', 'Sand Blue', 'Sand Green', 'Sand Red', 'Tan', 'White', 'Yellow', 'Trans-Light Blue', 'Trans-Medium Blue', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Neon Yellow', 'Trans-Orange', 'Trans-Red', 'Chrome Gold', 'Chrome Silver', 'Flat Silver', 'Pearl Gold', 'Pearl Light Gray', 'Metallic Gold', 'Metallic Silver', 'Dark Green', 'Light Blue', 'Trans-Light Orange']",2412.dat
61,2413,"['Black', 'Blue', 'Bright Light Orange', 'Brown', 'Dark Gray', 'Dark Pink', 'Dark Purple', 'Dark Tan', 'Light Bluish Gray', 'Light Gray', 'Red', 'Reddish Brown', 'Tan', 'White']",2413.dat
62,2415,"['Light Bluish Gray', 'Light Gray']",2415.dat
63,2417,"['Blue', 'Bright Green', 'Bright Light Orange', 'Bright Pink', 'Dark Blue', 'Dark Green', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Green', 'Lavender', 'Light Green', 'Lime', 'Magenta', 'Medium Azure', 'Medium Lavender', 'Sand Green', 'White', 'Yellowish Green']",2417.dat
64,2418a,"['Red', 'White', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Neon Green']",2418a.dat
65,2418b,"['Light Gray', 'Red', 'White', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Neon Green', 'Trans-Neon Orange', 'Trans-Brown']",2418b.dat
66,2419,"['Black', 'Blue', 'Bright Pink', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Pink', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Magenta', 'Orange', 'Red', 'Sand Green', 'White', 'Yellow', 'Trans-Dark Blue', 'Trans-Neon Orange', 'Trans-Red', 'Reddish Brown']",2419.dat
67,2420,"['Black', 'Blue', 'Bright Light Orange', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Brown', 'Dark Gray', 'Dark Nougat', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Dark Turquoise', 'Green', 'Lavender', 'Light Bluish Gray', 'Light Gray', 'Light Orange', 'Lime', 'Maersk Blue', 'Magenta', 'Medium Azure', 'Medium Blue', 'Medium Lavender', 'Medium Nougat', 'Medium Orange', 'Olive Green', 'Orange', 'Red', 'Reddish Brown', 'Sand Blue', 'Sand Green', 'Tan', 'White', 'Yellow', 'Pearl Light Gray', 'Metallic Silver', 'Dark Green', 'Trans-Dark Blue', 'Trans-Red']",2420.dat
68,2421,"['Black', 'Light Bluish Gray', 'Light Gray']",2421.dat
69,2422,"['Black', 'Blue', 'Dark Gray', 'Green', 'Light Gray', 'Red', 'Tan', 'White', 'Yellow', 'Brown']",2422.dat
70,2423,"['Bright Green', 'Bright Light Yellow', 'Bright Pink', 'Dark Brown', 'Dark Orange', 'Dark Pink', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Green', 'Lavender', 'Lime', 'Magenta', 'Medium Azure', 'Olive Green', 'Sand Green', 'White', 'Dark Green']",2423.dat
71,2428,"['Black', 'Red', 'White', 'Yellow']",2428.dat
72,2429,"['Black', 'Blue', 'Bright Light Yellow', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Red', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Maersk Blue', 'Medium Azure', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow', 'Bright Light Blue', 'Bright Light Orange', 'Light Nougat', 'Sand Green']",2429.dat
73,2430,"['Black', 'Blue', 'Bright Light Yellow', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Medium Azure', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow', 'Bright Light Blue', 'Bright Light Orange', 'Dark Red', 'Light Nougat', 'Sand Green']",2430.dat
74,2431,"['Aqua', 'Black', 'Blue', 'Bright Green', 'Bright Light Blue', 'Bright Light Orange', 'Bright Light Yellow', 'Bright Pink', 'Brown', 'Coral', 'Dark Azure', 'Dark Blue', 'Dark Bluish Gray', 'Dark Brown', 'Dark Gray', 'Dark Green', 'Dark Nougat', 'Dark Orange', 'Dark Pink', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Dark Turquoise', 'Green', 'Lavender', 'Light Aqua', 'Light Bluish Gray', 'Light Gray', 'Light Nougat', 'Light Salmon', 'Light Yellow', 'Lime', 'Maersk Blue', 'Magenta', 'Medium Azure', 'Medium Blue', 'Medium Lavender', 'Medium Lime', 'Medium Nougat', 'Medium Orange', 'Medium Tan', 'Neon Yellow', 'Orange', 'Pink', 'Purple', 'Red', 'Reddish Brown', 'Sand Blue', 'Sand Green', 'Sky Blue', 'Tan', 'White', 'Yellow', 'Trans-Clear', 'Trans-Dark Blue', 'Trans-Light Blue', 'Trans-Neon Green', 'Trans-Neon Yellow', 'Trans-Red', 'Trans-Yellow', 'Pearl Gold', 'Pearl Light Gray', 'Satin Trans-Brown', 'Satin Trans-Light Blue', 'Metallic Gold', 'Metallic Silver', 'Glitter Trans-Light Blue', 'Trans-Brown', 'Dark Yellow', 'Light Pink', 'Flat Dark Gold']",2431.dat
75,2431p02,['White'],2431p02.dat
76,2431p12,"['Dark Bluish Gray', 'White']",2431p12.dat
77,2431p51,['Red'],2431p51.dat
78,2431p79,"['Light Gray', 'White']",2431p79.dat
79,2432,"['Black', 'Blue', 'Bright Pink', 'Brown', 'Dark Azure', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Purple', 'Dark Red', 'Green', 'Light Bluish Gray', 'Light Gray', 'Light Pink', 'Medium Azure', 'Medium Blue', 'Orange', 'Pink', 'Red', 'Reddish Brown', 'Sand Blue', 'Tan', 'White', 'Yellow', 'Flat Silver', 'Pearl Dark Gray', 'Dark Blue']",2432.dat
80,2433,"['Black', 'Blue', 'Brown', 'Dark Gray', 'Green', 'Light Bluish Gray', 'Light Gray', 'Red', 'Tan', 'White', 'Yellow']",2433.dat
81,2434,"['Black', 'Blue', 'Dark Bluish Gray', 'Light Gray', 'Red', 'Yellow']",2434.dat
82,2436,"['Black', 'Blue', 'Bright Light Yellow', 'Brown', 'Dark Bluish Gray', 'Dark Orange', 'Dark Pink', 'Dark Red', 'Green', 'Light Aqua', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Medium Nougat', 'Orange', 'Red', 'Reddish Brown', 'Sand Green', 'Tan', 'White', 'Yellow']",2436.dat
83,2437,"['Black', 'Lime', 'Orange', 'Sand Green', 'Trans-Clear', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Light Blue', 'Trans-Brown']",2437.dat
84,2440,"['Black', 'Dark Blue', 'Dark Bluish Gray', 'Dark Green', 'Light Gray', 'Orange', 'Red', 'White', 'Yellow']",2440.dat
85,2440p69,['Black'],2440p69.dat
86,2441,"['Black', 'Blue', 'Green', 'Red', 'White', 'Yellow']",2441.dat
87,2443,['Black'],2443.dat
88,2444,"['Black', 'Blue', 'Brown', 'Dark Bluish Gray', 'Dark Purple', 'Green', 'Light Bluish Gray', 'Light Gray', 'Medium Blue', 'Red', 'Tan', 'White', 'Yellow']",2444.dat
89,2445,"['Aqua', 'Black', 'Blue', 'Bright Light Yellow', 'Bright Pink', 'Brown', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Dark Turquoise', 'Green', 'Lavender', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Magenta', 'Medium Azure', 'Medium Green', 'Medium Nougat', 'Orange', 'Red', 'Reddish Brown', 'Tan', 'White', 'Yellow', 'Light Brown']",2445.dat
90,2446,"['Black', 'Blue', 'Bright Green', 'Coral', 'Dark Azure', 'Dark Blue', 'Dark Bluish Gray', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Magenta', 'Medium Blue', 'Neon Yellow', 'Orange', 'Red', 'White', 'Yellow', 'Trans-Clear', 'Flat Silver', 'Pearl Dark Gray', 'Pearl Gold', 'Pearl Light Gray']",2446.dat
91,2447,"['Black', 'Brown', 'Lime', 'White', 'Trans-Black', 'Trans-Clear', 'Trans-Dark Blue', 'Trans-Green', 'Trans-Light Blue', 'Trans-Medium Blue', 'Trans-Neon Green', 'Trans-Neon Yellow', 'Trans-Orange', 'Trans-Red', 'Trans-Yellow', 'Flat Dark Gold', 'Pearl Gold', 'Pearl Light Gray', 'Metallic Gold', 'Trans-Brown']",2447.dat
92,2448,"['Black', 'Blue', 'White', 'Trans-Dark Blue', 'Trans-Yellow']",2448.dat
93,2449,"['Black', 'Blue', 'Bright Light Blue', 'Bright Light Orange', 'Bright Light Yellow', 'Brown', 'Dark Azure', 'Dark Blue', 'Dark Bluish Gray', 'Dark Brown', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Green', 'Lavender', 'Light Aqua', 'Light Bluish Gray', 'Light Gray', 'Medium Blue', 'Medium Nougat', 'Olive Green', 'Orange', 'Red', 'Reddish Brown', 'Sand Blue', 'Tan', 'White', 'Yellow', 'Yellowish Green']",2449.dat
94,2450,"['Black', 'Blue', 'Bright Light Blue', 'Bright Light Orange', 'Brown', 'Dark Azure', 'Dark Blue', 'Dark Bluish Gray', 'Dark Brown', 'Dark Gray', 'Dark Green', 'Dark Orange', 'Dark Purple', 'Dark Red', 'Dark Tan', 'Green', 'Light Bluish Gray', 'Light Gray', 'Lime', 'Medium Azure', 'Medium Blue', 'Medium Nougat', 'Red', 'Reddish Brown', 'Sand Blue', 'Sand Green', 'Tan', 'White', 'Yellow', 'Orange']",2450.dat
